EGID;IDPADR;ADRESSE;COMMUNE;DESTINATION;SOURCE_CHALEUR;NBRE_PRENEUR;DIFC;SOUMIS_AU_CALCUL;PARTICIP_EAU_CHAUDE;CALCUL_SAISON;AVANT_93;ANNEE;SRE;INDICE;CONSOM_TOTALE;CONSO_CORRIGEE;EMISSION_CO2;AGENT_1;QUANTITE_AGENT_1;AGENT_2;QUANTITE_AGENT_2;AGENT_3;QUANTITE_AGENT_3;DATE_SAISIE;SHAPE.AREA;SHAPE.LEN
1016231.0;930225009003.0;Rue DAUBIN 31;Genève-Petit-Saconnex;Hab plusieurs logements;;43;Non;Oui;0.3;Oui;Oui;2010;4149.0;359;1491223;1489491.0;82017;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];451886;;;;;20101101;663.11885;108.84795229281102
2039592.0;930225015066.0;Rue Charles-HUMBERT 8;Genève-Plainpalais;Habitation - activités;;11;Non;Oui;0.0;Oui;Oui;2010;1069.0;358;383582;382702.0;21097;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];116237;;;;;20110629;189.80345;55.37855468534109
1011332.0;930225010668.0;Rue Louis-FAVRE 21;Genève-Cité;Hab plusieurs logements;;20;Non;Oui;0.27;Oui;Oui;2010;1161.0;541;628135;628101.0;34547;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];190344;;;;;20110825;232.32590000000002;63.7972359893174
1012367.0;930225009614.0;Avenue Henri-DUNANT 15;Genève-Plainpalais;Hab. - rez activités;;15;Non;Oui;0.3;Oui;Oui;2010;1659.0;422;701064;700098.0;51177;Mazout. en [litres]. à 36 [MJ / litre];19474;;;;;20110131;349.58305;78.2870885172828
11522405.0;950726172653.0;Rue de La-Tambourine 72;Carouge;Résidence meublée;;0;Non;Non;0.3;Oui;Non;2009;1196.0;346;404640;413816.0;29538;Mazout. en [litres]. à 36 [MJ / litre];11240;;;;;20090728;246.2364;64.1236287870554
2375072.0;940607171829.0;Rue FERRIER 19;Genève-Petit-Saconnex;Hab. - rez activités;;10;Non;;0.3;Oui;Non;2010;1111.0;422;469404;468842.0;34266;Mazout. en [litres]. à 36 [MJ / litre];13039;;;;;20110215;252.47315;66.3288458080082
1011339.0;930225010676.0;Rue Louis-FAVRE 31;Genève-Cité;Hab. - rez activités;;18;Non;Oui;0.28;Oui;Oui;2010;3461.0;334;1157445;1155974.0;63659;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];350741;;;;;20110825;215.77305;75.3029433531876
1020077.0;930225013355.0;Route du Grand-Lancy 29;Lancy;Hab plusieurs logements;;9;Non;Oui;0.3;Oui;Oui;2010;578.0;636;367787;367608.0;24849;Mazout. en [litres]. à 36 [MJ / litre];7132;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];33647;;;20101118;171.6318;53.354103899772596
1014081.0;930225019574.0;Rue de Montchoisy 74;Genève-Eaux-Vives;Hab plusieurs logements;;17;Non;Oui;0.3;Non;Oui;2010;2589.0;447;1202318;1157283.0;66127;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];364339;;;;;20110225;285.36295;67.8693603708991
1016634.0;930225002369.0;Rue du Beulet 5;Genève-Petit-Saconnex;Hab plusieurs logements;;23;Non;Oui;0.3;Oui;Oui;2010;2516.0;465;1170140;1169940.0;64357;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];354588;;;;;20110411;248.46120000000002;63.6302579932352
1013285.0;930225031832.0;Boulevard Carl-VOGT 9;Genève-Plainpalais;Hab. - rez activités;;14;Non;Oui;0.0;Oui;Oui;2010;818.0;502;411110;410636.0;22611;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];124579;;;;;20101006;123.36495;45.5966637448233
